CumOil12Month,rowID,Operator,Reservoir,LateralLength_FT,ProppantIntensity_LBSPerFT,FluidIntensity_BBLPerFT
159695,651,APA,WOLFCAMP B,10450,1651,49
197422,652,APA,WOLFCAMP B,10471,1637,49
214567,653,APA,WOLFCAMP B,10468,1636,49
203676,654,PRIME,WOLFCAMP B,10466,1659,54
205171.375,655,APA,WOLFCAMP B,10424,1712,50
159583.625,656,APA,WOLFCAMP B,10407,1682,51
188390,657,APA,WOLFCAMP B,10425,1705,39
168179.171875,658,APA,WOLFCAMP B,10447,1663,48
161837.828125,659,APA,WOLFCAMP B,10452,1659,49
78864,685,PXD,WOLFCAMP C,11265,1632,42
114040,691,FANG,WOLFCAMP B,10180,1308,46
302168.0625,693,PXD,WOLFCAMP B,9908,1683,53
85220.71875,694,PXD,WOLFCAMP B,10058,1701,54
206594.046875,696,PXD,WOLFCAMP A,9907,1762,39
190380.90625,697,PXD,WOLFCAMP A,9908,1802,40
126423.0546875,701,PXD,WOLFCAMP B,9908,1731,53
101207,707,SABLE,WOLFCAMP A,10511,1737,24
62442,708,SABLE,WOLFCAMP A,10216,1737,36
170241,716,SUMMIT,WOLFCAMP B,9963,1825,40
181861.90625,719,OVV,WOLFCAMP A,10000,2207,39
94785.0703125,720,OVV,WOLFCAMP A,9985,2222,39
67927,721,OVV,WOLFCAMP A,9994,1796,43
164491.5625,724,OVV,WOLFCAMP A,9922,1871,45
109895.4375,725,OVV,WOLFCAMP A,10129,1824,43
138174,727,LARIO,WOLFCAMP D,10019,1944,51
113309,747,SUMMIT,WOLFCAMP B,10052,1901,45
264443.125,749,CVX,WOLFCAMP B,10291,1726,64
77178.953125,750,CVX,WOLFCAMP A,10277,145,6
163647.78125,751,CVX,WOLFCAMP B,10290,1614,65
320997.1875,752,CVX,WOLFCAMP A,10291,1732,64
229309,754,CVX,WOLFCAMP A,10262,1380.5,34
198799,760,CVX,WOLFCAMP B,10053,1995,74
49368.51953125,762,SABLE,WOLFCAMP A,10321,1641,24
42700.75390625,764,SABLE,WOLFCAMP A,10071,1662,23
97948.5859375,765,SABLE,WOLFCAMP B,10270,1535,38
89909.921875,766,SABLE,WOLFCAMP B,10666,1966,48
115818.765625,767,SABLE,WOLFCAMP A,10433,1406,14
70462.09375,768,SABLE,WOLFCAMP B,10620,1905,40
132971.859375,769,SABLE,WOLFCAMP A,10597,1393,25
113249.21875,770,SABLE,WOLFCAMP B,10645,1935,41
35017.6171875,771,SABLE,WOLFCAMP B,10965,1783,21
