CumOil12Month,rowID,Operator,CompletionDate,Reservoir,LateralLength_FT,ProppantIntensity_LBSPerFT,FluidIntensity_BBLPerFT,HzDistanceToNearestOffsetAtDrill,HzDistanceToNearestOffsetCurrent,VtDistanceToNearestOffsetCurrent,VtDistanceToNearestOffsetAtDrill,WellDepth,ReservoirThickness,OilInPlace,Porosity,ReservoirPressure,WaterSaturation,StructureDerivative,TotalOrganicCarbon,ClayVolume,CarbonateVolume,Maturity,TotalWellCost_USDMM
36130.0000,77,LARIO,9/25/2018,WOLFCAMP B,9820.0000,1951.0000,52.0000,2000.0000,2000.0000,500.0000,500.0000,6702.3120,175.5730,6940.9370,0.0640,4649.8602,0.7040,0.0110,3.1914,0.1930,0.2140,0.7180,5.8520
150094.0000,78,CVX,11/28/2016,WOLFCAMP B,7762.0000,2000.0000,46.0000,1321.6610,1154.8200,3.5520,2.5040,6782.9510,312.2400,11380.9750,0.0360,4252.4932,0.4950,0.0100,2.2357,0.1590,0.3650,0.9610,4.5131
155024.0000,79,CVX,11/21/2016,WOLFCAMP B,7921.0000,2019.0000,46.0000,987.1050,987.1050,4.5990,4.5990,6787.5500,312.2400,10070.8520,0.0390,4318.1353,0.5390,0.0100,2.2605,0.1600,0.3650,0.9620,4.5977
113096.0000,80,CVX,11/27/2016,WOLFCAMP B,7722.0000,2015.0000,46.0000,756.3280,756.3280,23.6980,23.6980,6763.8520,325.0990,14364.0340,0.0390,4381.1415,0.5290,0.0130,2.2031,0.1650,0.3600,0.9630,4.5063
137568.0000,81,CVX,3/5/2017,WOLFCAMP B,7522.0000,2110.0000,48.0000,877.2610,415.5730,13.7860,13.7860,6882.5730,325.0990,10736.9430,0.0440,3930.9246,0.4660,0.0060,2.3990,0.1650,0.3150,0.9650,4.5444
93950.0000,82,CVX,3/5/2017,WOLFCAMP B,7522.0000,2022.0000,46.0000,878.9020,623.0100,148.6600,47.4080,6835.1650,346.5990,10311.1020,0.0480,3969.8662,0.5360,0.0060,2.6233,0.1590,0.3070,0.9650,4.4407
130387.0000,83,CVX,10/19/2019,SPRABERRY LOWER SHALE,7894.0000,1542.0000,39.0000,442.3360,442.3360,201.8770,201.8770,6017.5300,,19506.5150,0.0560,2783.6485,0.5870,0.0030,1.9911,0.2480,0.1520,0.9650,4.0152
228920.0156,84,FANG,2/10/2017,SPRABERRY LOWER SHALE,9761.0000,1598.0000,36.0000,636.3150,335.9260,186.2900,91.0250,5189.7430,,18746.4080,0.0570,2536.5271,0.5430,0.0140,2.2595,0.2240,0.1490,0.8500,5.1250
246973.0000,85,FANG,2/11/2017,WOLFCAMP A,9721.0000,1603.0000,35.0000,35.4690,35.4690,248.5860,248.5860,5471.2980,,21029.5990,0.0660,2699.8091,0.4150,0.0120,2.8049,0.2250,0.1070,0.8530,5.1604
190599.0000,86,FANG,2/16/2017,WOLFCAMP B,9741.0000,1550.0000,37.0000,304.0660,316.7170,266.4130,248.5860,5719.8840,222.9570,9164.4910,0.0510,3516.2088,0.6120,0.0150,2.7800,0.1930,0.1900,0.8500,5.1412
219197.0000,87,PXD,2/8/2016,WOLFCAMP A,7667.0000,1764.0000,45.0000,313.7180,313.7180,321.7120,321.7120,6579.6820,,17525.9170,0.0410,4219.4942,0.4250,0.0120,2.2867,0.1590,0.3850,0.9340,5.3875
199524.0000,88,PXD,10/10/2016,WOLFCAMP B,10479.0000,1847.0000,57.0000,664.4200,664.4200,32.2930,32.2930,6918.6640,407.0600,17151.0520,0.0520,4624.4296,0.5310,0.0140,4.5029,0.1590,0.3090,0.9330,7.4209
154696.1875,89,PXD,12/20/2014,WOLFCAMP B,4563.0000,1769.0000,41.0000,2000.0000,995.6650,35.0540,500.0000,6967.5920,379.8040,9669.9550,0.0340,4317.7530,0.5780,0.0120,2.3061,0.1480,0.3510,0.9360,3.6774
110463.8125,90,PXD,10/14/2015,WOLFCAMP B,5126.0000,1514.0000,45.0000,994.8150,994.8150,35.0540,35.0540,6932.5380,387.9080,9822.2800,0.0370,4256.2475,0.6010,0.0120,2.3092,0.1490,0.3440,0.9350,3.8145
96656.8125,91,PXD,1/14/2016,WOLFCAMP B,5129.0000,1628.0000,41.0000,258.0370,447.5880,500.0000,371.2010,6923.4270,391.8920,8404.5580,0.0310,4123.5270,0.5930,0.0120,2.2458,0.1470,0.3540,0.9350,3.8660
89733.3750,92,PXD,1/21/2016,WOLFCAMP B,5125.0000,1733.0000,44.0000,636.0630,636.0630,2.4090,2.4090,6903.8020,391.8920,10440.7030,0.0390,4259.3677,0.5980,0.0120,2.3381,0.1510,0.3340,0.9350,3.9709
87081.3594,93,PXD,9/1/2015,WOLFCAMP A,4614.0000,1595.0000,41.0000,2000.0000,2000.0000,500.0000,500.0000,6448.6050,,29317.2750,0.0520,3706.4512,0.2810,0.0130,2.2843,0.1620,0.3750,0.9330,3.4842
121020.0000,94,PXD,2/7/2016,WOLFCAMP B,7787.0000,1779.0000,45.0000,313.7350,313.7350,2.4090,2.4090,6901.3940,404.3020,8618.0360,0.0350,4352.8461,0.6040,0.0130,2.2944,0.1450,0.3540,0.9340,5.5156
