CumOil12Month,rowID,Operator,CompletionDate,DaysSinceStruck,Reservoir,LateralLength_FT,ProppantIntensity_LBSPerFT,FluidIntensity_BBLPerFT,HzDistanceToNearestOffsetAtDrill,HzDistanceToNearestOffsetCurrent,VtDistanceToNearestOffsetCurrent,VtDistanceToNearestOffsetAtDrill,WellDepth,PSI_PerSqf_Thick,ReservoirThickness,OilInPlace,Porosity,ReservoirPressure,WaterSaturation,StructureDerivative,TotalOrganicCarbon,ClayVolume,CarbonateVolume,Maturity,TotalWellCost_USDMM
110463.8125,90,PXD,2015-10-14,2468,WOLFCAMP B,5126,1514,45,994.815,994.815,35.054,35.054,6932.538,9.11384974901449e-02,387.908,9822.28,0.037,4256.247477,0.601,0.012,2.309232633,0.149,0.344,0.935,3.81449580192566
96656.8125,91,PXD,2016-01-14,2376,WOLFCAMP B,5129,1628,41,258.037,447.588,500,371.201,6923.427,9.50380573325149e-02,391.892,8404.558,0.031,4123.527048,0.593,0.012,2.24577623,0.147,0.354,0.935,3.8659565448761
89733.375,92,PXD,2016-01-21,2369,WOLFCAMP B,5125,1733,44,636.063,636.063,2.409,2.409,6903.802,9.20070845586585e-02,391.892,10440.703,0.039,4259.367655,0.598,0.012,2.338100065,0.151,0.334,0.935,3.97089719772339
87081.359375,93,PXD,2015-09-01,2511,WOLFCAMP A,4614,1595,41,2000,2000,500,500,6448.605,2.22584882093894,8250,29317.275,0.052,3706.451185,0.281,0.013,2.284313504,0.162,0.375,0.933,3.48415613174438
121020,94,PXD,2016-02-07,2352,WOLFCAMP B,7787,1779,45,313.735,313.735,2.409,2.409,6901.394,9.28822174644478e-02,404.302,8618.036,0.035,4352.846121,0.604,0.013,2.294392885,0.145,0.354,0.934,5.51558685302734
138807,95,PXD,2016-02-06,2353,WOLFCAMP B,7792,1755,44,334.61,334.61,16.964,338.676,6918.358,9.0749058196489e-02,404.302,9321.434,0.036,4455.164693,0.613,0.013,2.420292089,0.151,0.336,0.934,5.48899698257446
126832.9921875,96,PXD,2015-02-01,2723,WOLFCAMP B,4529,1727,38,803.668541598695,649.201341761826,176.282343800979,175.886101141925,6154.580828,0.102055651863613,421.248,12166.316,0.049,4127.630291,0.649,0.012,2.328975348,0.154,0.329,0.934,4.07266807556152
85800,97,PXD,2018-08-27,1420,SPRABERRY LOWER,10241,1908,38,2000,2000,500,500,5915.259,2.32871468674896,7250,31646.345,0.055,3113.305396,0.321,0.014,2.608398745,0.223,0.17,0.934,6.78386211395264
101571,98,PXD,2018-08-27,1420,SPRABERRY LOWER,10112,1477,4,868.810118398637,708.245711243612,166.470877342419,195.972350936968,5637.22119140625,5.65344572643366,7250,5194.966,0.055,1282.40375,0.739,0.014,2.094925,0.167,0.095,0.934,3.04156160354614
96275.9921875,99,PXD,2018-09-18,1398,WOLFCAMP A,4518,1892,45,2000,2000,500,500,6446.062,2.21522667005765,8250,27765.38,0.051,3724.223851,0.313,0.011,2.255302506,0.162,0.377,0.933,3.68538355827332
137845.015625,100,PXD,2018-09-18,1398,WOLFCAMP B,4699,1856,46,677.954,677.954,1.155,1.155,6913.304,0.135167628342344,421.475,13802.446,0.054,3118.165238,0.621,0.012,4.99998576,0.182,0.296,0.933,3.8547568321228
100907,101,PXD,2018-09-18,1398,WOLFCAMP B,4696,1679,48,678.724,678.724,1.155,1.155,6912.15,0.137394565318402,421.475,17177.738,0.061,3067.624975,0.587,0.012,3.243535352,0.18,0.294,0.933,4.0284595489502
89902.9453125,102,PXD,2019-04-09,1195,WOLFCAMP C,9580,1824,43,2000,2000,500,500,6391.373,2.28881404092907,9450,16900.767,0.062,4128.77579,0.718,0.013,2.246384158,0.222,0.259,0.899,6.43501567840576
125745,103,HIBERNIA,2016-11-15,2070,WOLFCAMP B,7726,1913,47,1348.732,1018.14,53.436,68.858,6162.125,0.127142251581642,504.029,20258.69,0.061,3964.291915,0.566,0.007,33.32059577,0.184,0.289,0.883,5.91414022445679
9717,104,CVX,1998-01-09,8955,WOLFCAMP A,632,1380.5,34,717.044230319149,574.877384574469,198.159905851064,213.280151063831,6587.318,2.62756890759569,8250,11500.934,0.036,3139.784451,0.423,0.001,1.781596802,0.158,0.382,0.909,4.02353867888451
9717,105,CVX,2000-06-20,8062,WOLFCAMP A,1379,1380.5,34,717.044230319149,574.877384574469,198.159905851064,213.280151063831,6587.318,2.62756890759569,8250,11500.934,0.036,3139.784451,0.423,0.001,1.781596802,0.158,0.382,0.909,4.02353867888451
29081.96484375,106,FIREBIRD,2012-04-13,3747,WOLFCAMP A,3748,203,23,2000,1282.956,88.98,500,6573.282,2.65765181378387,8250,11763.848,0.025,3104.244114,0.334,0.006,1.505298841,0.119,0.513,0.878,2.66560530662537
79199,107,SABLE,2017-09-07,1774,WOLFCAMP B,9102,1959,50,1359.698,959.592,70.804,40.193,4083.601,0.219741167909622,561.507,21106.427,0.054,2555.310893,0.494,0.017,2.596231651,0.218,0.314,0.93,6.3830451965332
207898,108,PXD,2017-10-31,1720,WOLFCAMP B,9980,2131,44,853.466,900.973,49.262,0.025,7052.537,7.9138537147827e-02,329.819,9326.229,0.052,4167.615575,0.645,0.006,3.413387602,0.17,0.265,0.975,7.3105640411377
